bar graph|A display that compares category amounts using bar lengths or heights.|A library lends 8 mysteries, 5 biographies, and 11 comics. Which bar is tallest?|11>8>5|The comics bar is tallest because 11 is the largest count.
base (of a polygon)|A chosen side used with its perpendicular height to measure a polygon.|A triangle has a chosen base of 9 cm and height of 4 cm. Find its area.|A=\frac12(9)(4)=18\text{ cm}^2|The height must be perpendicular to the chosen base.
base (of a solid)|A face used as a reference for a solid; a prism has two parallel, congruent bases.|A prism has base area 15 cm² and height 6 cm. Find its volume.|V=Bh=15\cdot6=90\text{ cm}^3|The base area is repeated through the prism's height.
base (of an exponent)|The quantity being raised to a power.|In five to the third power, identify the base.|5^3=5\cdot5\cdot5=125|The base is 5; the exponent is 3.
binary number system|A place-value system using only 0 and 1, with powers of two as place values.|Convert the binary number 1101 to decimal.|1101_2=8+4+0+1=13_{10}|Read the places as eights, fours, twos, and ones.
binomial|A polynomial with exactly two nonzero terms after combining like terms.|Count the terms in an expression for ticket revenue minus a fixed fee.|9t-14|The terms 9t and −14 make this a binomial.
bisect|To split something into two equal parts.|A 22 cm ribbon is bisected. Find the length of each piece.|22\div2=11\text{ cm}|Both pieces have equal length.
boundary line|A line separating the two half-planes associated with a linear inequality.|What boundary belongs to y greater than 2x minus 3?|y=2x-3|Draw this line dashed because the inequality is strict.
box-and-whisker plot|A display of a data set's minimum, quartiles, median, and maximum.|Use the summary minimum 2, Q1 5, median 8, Q3 11, maximum 15.|(2,5,8,11,15)|The box runs from 5 to 11, its middle mark is 8, and the whiskers reach 2 and 15.
capacity|How much a container can hold.|A tank holds 18 liters. How many full 3-liter jugs can fill it?|18\div3=6|Six full jugs equal the tank's capacity.
center|A reference point in the middle of a figure, such as the point equally distant from every point on a circle.|A circle is centered at (2, −1) with radius 4.|C=(2,-1),\quad r=4|Every point on the circle is 4 units from C.
center of rotation|The fixed point around which a figure turns.|Rotate (3, 1) a half turn about the origin.|(3,1)\mapsto(-3,-1)|The origin stays fixed and is the center of rotation.
centi-|A metric prefix meaning one hundredth.|Express 8 centimeters in meters.|8\text{ cm}=0.08\text{ m}|One centimeter is one hundredth of a meter.
central angle|An angle whose vertex is the center of a circle.|A circular badge is divided into 8 equal sectors. Find one central angle.|360^\circ\div8=45^\circ|Each sector has a central angle of 45°.
circle|The set of points in a plane at one fixed distance from a center.|A sensor reaches every point exactly 6 meters from its center. Describe the boundary.|r=6\text{ m}|The boundary is a circle of radius 6 meters.
circle graph|A graph that uses sectors of a circle to show portions of a whole.|Nine of 30 students bike to school. Find the angle for their sector.|\frac9{30}\cdot360^\circ=108^\circ|The biking category occupies 30% of the circle.
circumference|The distance around a circle.|A round planter has radius 5 meters. Find its exact circumference.|C=2\pi(5)=10\pi\text{ m}|Circumference measures the circular edge, not the enclosed area.
circumscribed figure|An outer figure drawn around another with the specified sides or vertices touching it.|A square fits closely around a circle of radius 3 cm. Find the square's side.|s=2r=6\text{ cm}|Each side is tangent to the circle; the square circumscribes it.
clockwise|Turning in the direction followed by the hands of a clock.|A pointer turns from straight up to straight right.|90^\circ\text{ clockwise}|Viewed on the page, this is a quarter turn to the right.
clustering|A pattern where many data points gather in one region.|Seven measurements lie between 20 and 24, while one is 41.|20,21,21,22,23,23,24,41|The values cluster in the low twenties.
coefficient|The numerical multiplier of a variable part in a term.|Identify the coefficient in a model for a temperature change.|-8t|The coefficient of t is −8.
combination|A selection in which order does not matter.|Choose 2 representatives from 5 students. How many pairs are possible?|\binom52=10|Choosing Ana then Bo gives the same pair as choosing Bo then Ana.
common denominator|A denominator shared by two or more fraction forms.|Rewrite one third and five sixths with a common denominator.|\frac13=\frac26,\quad\frac56=\frac56|Both equivalent fractions now have denominator 6.
common factor|A whole-number factor shared by two or more integers.|Find the positive common factors of 18 and 30.|\{1,2,3,6\}|Each listed number divides both 18 and 30 with no remainder.
common multiple|A number that is a multiple of each of the given integers.|Two bells ring every 4 and 6 minutes. Give a shared ringing time after the start.|4\cdot3=6\cdot2=12|Twelve is a common multiple of 4 and 6.
Commutative Property of Addition|Switching the order of addends leaves the sum unchanged.|Compare 16 blue counters plus 7 red counters with the reverse order.|16+7=7+16=23|Reordering the groups does not change the total.
Commutative Property of Multiplication|Switching the order of factors leaves the product unchanged.|Compare 6 rows of 8 chairs with 8 rows of 6.|6\cdot8=8\cdot6=48|Both arrangements contain 48 chairs.
compatible numbers|Numbers chosen because they make a calculation easier to estimate mentally.|Estimate 238 divided by 6 using a nearby convenient number.|238\div6\approx240\div6=40|Using 240 gives a quick estimate close to the exact quotient.
compensation|Adjusting a quantity to simplify a calculation, then correcting for that adjustment.|Find 398 plus 57 mentally.|398+57=400+57-2=455|Adding 2 made the first number easier; subtract 2 to compensate.
complementary angles|Two angles whose measures add to 90°.|One of two complementary angles is 28°. Find the other.|90^\circ-28^\circ=62^\circ|The pair 28° and 62° fills a right angle.
composite number|A positive integer greater than 1 with a factor other than 1 and itself.|Show that 35 is composite.|35=5\cdot7|The factors 5 and 7 show that 35 is not prime.
compound event|An event made by combining two or more simpler events.|Roll a die and flip a coin. Give the outcome '4 and tails'.|(4,T)|The event combines a die result and a coin result.
compound interest|Interest calculated on both the original principal and previously earned interest.|A 200-dollar deposit earns 5% annually for two years, compounded annually.|A=200(1.05)^2=220.50|The second year's interest is calculated on 210 dollars.
compound statement|A statement made by joining simpler statements with logical words.|Join 'n is even' and 'n is greater than 10'.|p\land q|For n = 12, both parts and their conjunction are true.
concave polygon|A polygon with at least one interior angle greater than 180°.|A polygon has an inward corner measuring 225°. Classify it.|225^\circ>180^\circ|The inward corner makes the polygon concave.
conditional probability|The probability of an event after restricting attention to a given condition.|Of 12 students who bike, 9 wear helmets. Given that a student bikes, find the helmet probability.|P(H\mid B)=\frac9{12}=\frac34|Use only the biking students as the denominator.
cone|A solid with a circular base that narrows to one vertex.|A cone has radius 2 cm and perpendicular height 9 cm. Find its volume.|V=\frac13\pi(2)^2(9)=12\pi\text{ cm}^3|The cone holds one third of the matching cylinder's volume.
congruent|Having exactly the same shape and size.|Two triangles have corresponding side lengths 5, 7, and 9 cm.|\triangle ABC\cong\triangle DEF|Matching all three side lengths establishes congruence.
conic projection|A map projection formed using a cone as the projection surface.|Imagine wrapping a cone around a globe so it touches latitude 40° N.|\phi=40^\circ\text{ N}|That latitude is a standard parallel where the cone touches the globe.
conjunction|A logical 'and' statement, true only when both parts are true.|Let p mean '8 is even' and q mean '8 is prime'.|p\land q=\text{false}|The first part is true, but the second is false.
constant|A value that does not change within a given situation.|A delivery fee is fixed at 7 dollars, plus 2 dollars per item.|C=2n+7|The constant term is 7.
constant graph|A graph whose output stays the same as the input changes.|A machine always dispenses 250 milliliters. Graph the amount per use.|y=250|The graph is horizontal because every output is 250.
constant of proportionality|The fixed multiplier in a proportional relationship.|Three meters of fabric cost 21 dollars. Find the constant price per meter.|k=\frac{21}{3}=7,\quad C=7m|The constant of proportionality is 7 dollars per meter.
conversion factor|A ratio of equivalent measurements used to change units.|Convert 3.5 hours to minutes.|3.5\text{ h}\cdot\frac{60\text{ min}}{1\text{ h}}=210\text{ min}|The hour units cancel.
convex polygon|A polygon with no inward corners; each interior angle is less than 180°.|A regular hexagon has interior angles of 120°. Classify it.|120^\circ<180^\circ|All its corners bend outward, so it is convex.
coordinate plane, coordinate system|A framework of perpendicular number lines for locating points.|Locate a point two units left and four units up from the origin.|P=(-2,4)|The first coordinate gives horizontal position and the second gives vertical position.
coordinates|Numbers that specify a position in a coordinate system.|A drone is 5 units east and 2 units south of its starting point.|(x,y)=(5,-2)|The coordinates record both direction and distance along each axis.
corresponding angles (for lines)|Angles in matching positions where a transversal crosses two lines.|Two parallel lines have matching-position angles labeled 113° and x.|x=113^\circ|Corresponding angles are equal when the crossed lines are parallel.
corresponding angles (in similar figures)|Angles occupying matching positions in similar figures.|In two similar triangles, angle A corresponds to angle D, and A is 52°.|\angle D=52^\circ|Similarity preserves corresponding angle measures.
corresponding sides|Sides that match in position between related figures.|A small triangle's 4 cm side matches a 10 cm side in a similar triangle.|k=\frac{10}{4}=2.5|All corresponding side lengths have the same scale factor, 2.5.
cosine|For an acute angle in a right triangle, adjacent-leg length divided by hypotenuse length.|An angle has adjacent leg 15 and hypotenuse 17. Find its cosine.|\cos\theta=\frac{15}{17}|Use the adjacent leg, not the opposite leg.
counterclockwise|Turning opposite to the direction of a clock's hands.|A pointer turns from straight right to straight up.|90^\circ\text{ counterclockwise}|This is a quarter turn to the left.
counterexample|One example that disproves a claim stated for every case.|Disprove the claim that every odd integer is prime.|9=3\cdot3|Nine is odd but composite, so the universal claim is false.
Counting Principle|Multiply the number of choices at successive independent selection stages to count outcomes.|Choose one of 3 wraps and one of 4 drinks.|3\cdot4=12|There are 12 possible wrap-and-drink combinations.
cross product|In a proportion, one of the products formed by multiplying diagonally opposite entries.|Check whether 3/7 and 12/28 are equivalent.|3\cdot28=7\cdot12=84|The equal cross products verify the proportion.
cube|A solid with six congruent square faces.|A cube has side length 4 cm. Find its volume.|V=4^3=64\text{ cm}^3|Four layers of sixteen unit cubes fill the solid.
cubed|Raised to the third power.|Find seven cubed.|7^3=7\cdot7\cdot7=343|Multiply three copies of 7.
cubic unit|The volume of a cube with edges one unit long.|A box contains 2 layers of 3 by 5 unit cubes.|2\cdot3\cdot5=30|Its volume is 30 cubic units.
customary system of measurement|A system including inches, feet, yards, miles, ounces, pounds, cups, and gallons.|Convert 4 yards to feet.|4\text{ yd}\cdot3=12\text{ ft}|One yard equals three feet.
cylinder|A solid with two congruent, parallel circular bases joined by a curved surface.|A cylinder has radius 3 cm and height 7 cm. Find its volume.|V=\pi(3)^2(7)=63\pi\text{ cm}^3|Multiply the base area by the perpendicular height.
cylindrical projection|A map projection based on projecting the globe onto a cylinder.|Imagine a cylinder touching a globe along the equator.|\phi=0^\circ|Unrolling the cylinder creates a rectangular map surface; distortion depends on the projection.
decagon|A polygon with ten sides.|Find the interior-angle sum of a decagon.|(10-2)180^\circ=1440^\circ|A decagon can be divided into eight triangles from one vertex.
deci-|A metric prefix meaning one tenth.|Convert 6 decimeters to meters.|6\text{ dm}=0.6\text{ m}|Ten decimeters equal one meter.
decimal|A number representation based on powers of ten, including places to the right of a decimal point.|Write 3.47 in expanded form.|3.47=3+\frac4{10}+\frac7{100}|The digits after the decimal point represent tenths and hundredths.
decimal addition|Adding decimal quantities by matching place values.|A ribbon is 2.35 m long and another is 1.8 m long. Find the total.|2.35+1.80=4.15|Align the decimal points before adding.
decimal division|Dividing quantities written in decimal form.|Split 7.2 liters equally among 0.6-liter bottles.|7.2\div0.6=72\div6=12|Multiplying both numbers by 10 preserves the quotient.
decimal multiplication|Multiplying quantities written in decimal form.|Fabric costs 2.4 dollars per meter. Find the cost of 1.5 meters.|2.4\cdot1.5=3.60|The fabric costs 3 dollars and 60 cents.
decimal subtraction|Subtracting decimals while matching their place values.|A 5.6-meter board loses a 2.85-meter piece. Find what remains.|5.60-2.85=2.75|Write the extra zero to align hundredths.
decimal system|The base-ten place-value system.|Explain the value of each digit in 4,206.|4206=4(10^3)+2(10^2)+0(10)+6|Moving one place left multiplies the place value by ten.
decreasing graph|A graph whose output falls as the input increases over an interval.|A tank contains 30 liters and loses 2 liters per minute.|V=30-2t,\quad0\le t\le15|The graph decreases throughout this time interval.
deductive reasoning|Using accepted facts and logical rules to reach a certain conclusion.|All multiples of 6 are even. The number 54 is a multiple of 6.|54=6\cdot9\ \Rightarrow\ 54\text{ is even}|The conclusion follows from the general rule.
degree (°)|An angle unit equal to one three-hundred-sixtieth of a full turn.|A wheel turns through one sixth of a revolution.|\frac16\cdot360^\circ=60^\circ|The turn measures 60 degrees.
deka-|A metric prefix meaning ten.|Convert 2.4 dekameters to meters.|2.4\text{ dam}=24\text{ m}|Each dekameter contains ten meters.
denominator|The number below a fraction bar, specifying the division or the size of equal parts.|Seven of twelve equal garden sections contain herbs.|\frac7{12}|The denominator is 12, the number of equal sections in one whole garden.
dependent events|Events where knowing one outcome changes the probability of another.|A bag has 3 red and 2 blue tiles. Draw twice without replacement.|P(R_2\mid R_1)=\frac24=\frac12|The first red draw changes the contents of the bag.
dependent variable|An output whose value is determined by another variable in a model.|A parking garage charges 5 dollars per hour.|C=5h|Cost C depends on the number of hours h.
diagonal|A segment joining two nonadjacent vertices of a polygon.|How many diagonals start at one vertex of a pentagon?|5-3=2|Do not join the vertex to itself or to either neighboring vertex.
diameter|A segment through a circle's center with endpoints on the circle; also its length.|A wheel has radius 14 cm. Find its diameter.|d=2(14)=28\text{ cm}|The diameter spans two radii.
difference|The result of subtraction.|A team earned 31 points last week and 24 this week. Find the difference.|31-24=7|The totals differ by 7 points.
digit|A single symbol used to write numbers in a numeral system.|Which digit is in the hundreds place in 5,382?|5382=5000+300+80+2|The digit is 3; its value is 300.
dilation|A scaling transformation about a fixed center.|Dilate the point (−2, 3) by scale factor 4 about the origin.|(-2,3)\mapsto(-8,12)|Multiply each coordinate by 4.
direct variation|A relationship of the form y = kx for a fixed constant k.|A machine makes 18 parts in 3 minutes at a constant rate.|p=6t|The number of parts varies directly with time.
disjunction|A logical 'or' statement that is true when at least one part is true.|Let p mean '10 is even' and q mean '10 is a multiple of 3'.|p\lor q=\text{true}|Only one part needs to be true; mathematical 'or' usually includes both.
Distributive Property|Multiplication can be applied to each term inside a sum or difference.|Find the total cost of 7 bundles containing a 20-dollar item and a 3-dollar item.|7(20+3)=140+21=161|Multiply 7 by each part, then add.
dividend|The quantity being divided.|Share 63 markers equally among 9 tables.|63\div9=7|The dividend is 63.
divisible|An integer is divisible by another nonzero integer when the quotient is an integer.|Is 78 divisible by 6?|78\div6=13|Yes. There is no remainder.
division|Separating into equal groups or finding how many groups fit.|Put 56 cards into groups of 8.|56\div8=7|Seven groups use all the cards.
divisor|The quantity by which another quantity is divided.|Share 84 pencils among 7 classes.|84\div7=12|The divisor is 7.
dodecagon|A polygon with twelve sides.|Find one exterior angle of a regular dodecagon.|360^\circ\div12=30^\circ|The twelve equal exterior turns complete a full turn.
double bar graph|A bar graph comparing two data series within the same categories.|Compare Monday and Tuesday loans: fiction 8 and 11; nonfiction 5 and 7.|11-8=3,\quad7-5=2|Place two labeled bars in each category to show both days.
double line graph|A graph with two lines for comparing how two series change.|Plants A and B start at 4 cm; after a week they measure 9 cm and 7 cm.|\Delta A=5,\quad\Delta B=3|Plot both series against the same time axis.
double stem-and-leaf diagram|A back-to-back stem-and-leaf display comparing two numerical data sets.|Use scores A: 21, 24, 32 and B: 23, 31, 35.|A=\{21,24,32\},\ B=\{23,31,35\}|Use shared tens stems 2 and 3, with each group's ones digits on its own side.
edge|A line segment where two faces of a polyhedron meet.|Count the edges on the top and bottom of a rectangular prism, then the connectors.|4+4+4=12|The prism has 12 edges.
endpoint|A point marking the end of a segment or the start of a ray.|A segment runs from A(−1, 2) to B(5, 2).|\overline{AB}|A and B are the two endpoints.
equal ratios|Ratios that represent the same relative comparison.|Compare 6 blue tiles to 9 white tiles with 2 blue to 3 white.|\frac69=\frac23|Both comparisons have the same value.
equality|A statement that two quantities have the same value.|Show that two different calculations give the same amount.|4\cdot7=20+8|Both sides equal 28.
equally-likely outcomes|Outcomes with the same chance of occurring.|A fair spinner has five equal sectors. Find each sector's probability.|P=\frac15|No sector is more likely than another.
equation|A mathematical statement that two expressions are equal.|A membership costs 12 dollars plus 4 dollars per visit and totals 32 dollars.|12+4v=32\quad\Rightarrow\quad v=5|Five visits make the equation true.
equilateral triangle|A triangle with all three sides equal.|An equilateral triangle has perimeter 27 cm. Find each side.|s=27\div3=9\text{ cm}|All three sides must have the same length.
equivalent equations|Equations with exactly the same solution set.|Compare x + 8 = 19 with 2x + 16 = 38.|x=11|Multiplying both sides of the first equation by 2 preserves its solution.
equivalent expressions|Expressions with equal values for every input where they are defined.|Rewrite a cost expression by distributing.|5(t+4)=5t+20|The two expressions agree for every value of t.
equivalent fractions|Different fractions that represent the same number.|Scale both parts of two fifths by 3.|\frac25=\frac6{15}|Multiplying numerator and denominator by the same nonzero number preserves the value.
equivalent rates|Rates that describe the same relationship in different quantities or units.|A runner travels 12 km in 2 hours. Express the same rate for 3 hours.|\frac{12}{2}=\frac{18}{3}=6\text{ km/h}|Both rates represent 6 kilometers per hour.
equivalent ratios|Ratios obtained by scaling both quantities by the same nonzero factor.|A recipe uses 3 cups of oats per 2 cups of seeds. Triple it.|3:2=9:6|Both ingredients are multiplied by 3.
estimate|Find an approximate value suitable for a purpose.|Estimate the cost of 8 items priced at 19.80 dollars each.|8(19.80)\approx8(20)=160|The estimate is slightly greater than the exact cost of 158.40 dollars.
Euler's formula|For a convex polyhedron, vertices minus edges plus faces equals 2.|Check a triangular prism with 6 vertices, 9 edges, and 5 faces.|6-9+5=2|These counts satisfy Euler's formula.
evaluate|Calculate an expression's value, substituting given inputs when necessary.|Evaluate 4n − 3 when n is 6.|4(6)-3=21|Substitute first, then follow the order of operations.
even number|An integer divisible by 2.|Show that 46 is even.|46=2\cdot23|It can be divided into two equal integer groups.
event|A set of outcomes described by a condition.|Roll a six-sided die. List the outcomes in the event 'greater than 4'.|E=\{5,6\}|Either 5 or 6 makes the event occur.
expanded form|Writing a number as a sum of its place-value contributions.|Expand 6,035.|6035=6000+30+5|The zero hundreds contributes no amount.
experiment|A repeatable procedure with observable outcomes.|Spin a four-color spinner once and record the color.|S=\{R,B,G,Y\}|One spin is one trial of the experiment.
experimental probability|An event's observed frequency divided by the number of trials.|A paper cup lands upright 17 times in 50 tosses.|\widehat P=\frac{17}{50}=0.34|The observed probability is 34%, based on these trials.
exponent|The power to which a base is raised; a positive integer exponent counts repeated factors.|A branching pattern doubles through five stages. Calculate two to the fifth power.|2^5=32|The exponent 5 tells us to multiply five copies of 2.
exponential function|A function with a positive constant base other than 1 raised to a variable power.|A culture begins with 50 cells and doubles each hour.|N(t)=50\cdot2^t|After 3 hours, the model gives 400 cells.
exponential notation|Writing repeated factors using a base and an exponent.|Write four factors of 7 compactly.|7\cdot7\cdot7\cdot7=7^4|The exponent replaces a repeated multiplication.
expression|A mathematical phrase representing a value, without asserting a relation.|Write the total for five 3-dollar snacks plus a 2-dollar drink.|5(3)+2|Evaluating the expression gives 17 dollars.
exterior angles|Angles outside a polygon formed by a side and an extension of an adjacent side.|A triangle has two remote interior angles of 47° and 58°. Find the corresponding exterior angle.|47^\circ+58^\circ=105^\circ|An exterior angle of a triangle equals the sum of its remote interior angles.
face|A flat polygonal surface of a polyhedron.|Count the faces of a triangular prism.|2+3=5|It has two triangular faces and three rectangular faces.
factor|A number or expression multiplied by another to produce a product.|Write 42 as a product of two whole-number factors.|42=6\cdot7|Both 6 and 7 are factors of 42.
factor tree|A branching way to split a number into factors until only primes remain.|Start a factor tree for 84 with 7 times 12.|84=7(3\cdot4)=2^2\cdot3\cdot7|Stop splitting when every leaf is prime.
factorial|The product of the positive integers from 1 through a given positive integer; 0! is defined as 1.|Find the number of orders for five distinct badges.|5!=5\cdot4\cdot3\cdot2\cdot1=120|There are 120 orders.
fair game|A game in which neither player has an expected advantage under the stated rules.|Two players stake equal amounts; one wins on heads, the other on tails of a fair coin.|P(A)=P(B)=\frac12|Equal chances and equal stakes make this game fair.
flip|An informal name for a reflection across a line.|Flip the point (−3, 4) across the x-axis.|(-3,4)\mapsto(-3,-4)|The horizontal position stays the same while the vertical sign changes.
foot|A customary length unit equal to 12 inches.|Convert 2.5 feet to inches.|2.5\cdot12=30\text{ in}|Two and a half feet equals 30 inches.
formula|A rule expressed with mathematical symbols.|Use the distance formula for constant speed 9 m/s over 7 seconds.|d=rt=9\cdot7=63\text{ m}|Substitute known values into the rule.
fractal|A shape or pattern that repeats similar structure at different scales.|A branching design replaces each branch with three smaller branches.|b_n=3^n|The repeated rule creates 27 branches after three stages, starting with one branch.
fraction|A number expressed as one quantity divided by a nonzero quantity.|A trail is split into 9 equal stages; 4 are complete. Express the completed portion.|\frac49|The numerator counts completed stages; the denominator counts all equal stages.
fraction addition|Combining fractional quantities, using common denominators when needed.|A recipe uses 1/4 cup of oil and another 1/6 cup.|\frac14+\frac16=\frac3{12}+\frac2{12}=\frac5{12}|Twelfths allow the pieces to be counted together.
fraction division|Finding how many groups of a fractional size fit in a quantity.|How many quarter-cup portions fit in 3/2 cups?|\frac32\div\frac14=\frac32\cdot4=6|Six quarter-cup portions fit.
fraction multiplication|Multiplying fractional values, often finding a part of a part.|Three fifths of a garden is planted, and half of that area has herbs.|\frac12\cdot\frac35=\frac3{10}|Herbs cover three tenths of the entire garden.
fraction subtraction|Finding the difference between fractional quantities.|A bottle is 5/6 full; 1/4 of a full bottle is poured out.|\frac56-\frac14=\frac{10}{12}-\frac3{12}=\frac7{12}|Seven twelfths of the bottle remains.
frequency|The number of times a value or category occurs.|In the list 2, 5, 2, 7, 2, 5, count the twos.|f(2)=3|The frequency of 2 is three.
frequency chart or table|A table pairing each category or value with its count.|Record votes: jazz, pop, jazz, folk, pop, jazz.|\begin{array}{cc}\text{Jazz}&3\\\text{Pop}&2\\\text{Folk}&1\end{array}|The frequencies add to the six recorded votes.
front-end estimation|Estimating with the leading place values, optionally adjusting for the remaining parts.|Estimate 462 + 318 using hundreds first.|400+300=700|The remaining 62 and 18 add 80, so an adjusted estimate is about 780.
function|A relationship assigning exactly one output to each input.|A rule triples an input and then adds 2.|f(x)=3x+2,\quad f(4)=14|Each input produces a single output.
Fundamental Theorem of Arithmetic|Every integer greater than 1 has a unique prime factorization, apart from factor order.|Factor 90 completely.|90=2\cdot3^2\cdot5|Any complete prime factorization of 90 uses the same primes with the same multiplicities.
gallon|A customary capacity unit; a US liquid gallon equals 4 quarts.|Convert 3 US liquid gallons to quarts.|3\cdot4=12\text{ qt}|Use the US liquid measure in this example.
geometric probability|Probability found from a ratio of lengths, areas, or volumes when selection is uniform.|Choose a point uniformly on a 20 cm strip. A shaded section is 7 cm long.|P=\frac7{20}|Uniform selection makes probability proportional to length.
geometric sequence|A sequence with a fixed multiplier between consecutive nonzero terms.|A sequence begins 3, 12, 48. Find the next term.|48\cdot4=192|The common ratio is 4.
geometry|The study of shapes, sizes, positions, and spatial relationships.|Find the area of a triangular banner with base 10 cm and height 7 cm.|A=\frac12(10)(7)=35\text{ cm}^2|The calculation connects a shape with its measurements.
gram|A metric unit of mass equal to one thousandth of a kilogram.|Convert 750 grams to kilograms.|750\text{ g}=0.75\text{ kg}|Divide by 1,000.
graph|A visual representation of numerical information or mathematical relationships.|Plot the input-output pairs for y = x + 3 when x is 0, 1, and 2.|(0,3),\ (1,4),\ (2,5)|The points lie on one straight line.
greatest common factor (GCF)|The largest positive integer that divides all the given integers.|Find the greatest common factor of 24 and 36.|24=2^3\cdot3,\quad36=2^2\cdot3^2\quad\Rightarrow\quad\mathrm{GCF}=12|Use the common primes with the smaller exponents.
hecto-|A metric prefix meaning one hundred.|Convert 3.2 hectometers to meters.|3.2\text{ hm}=320\text{ m}|Each hectometer contains 100 meters.
height|The perpendicular distance from a chosen base to the opposite vertex, side, or plane.|A triangle has area 30 cm² and base 12 cm. Find its height.|h=\frac{2(30)}{12}=5\text{ cm}|The height is measured at a right angle to the base.
heptagon|A polygon with seven sides.|Find the interior-angle sum of a heptagon.|(7-2)180^\circ=900^\circ|Five triangles account for the angle sum.
hexadecimal number system|A base-sixteen system using 0–9 and A–F for digit values zero through fifteen.|Convert hexadecimal 2B to decimal.|2B_{16}=2(16)+11=43_{10}|B represents eleven.
hexagon|A polygon with six sides.|A regular hexagon has perimeter 42 cm. Find its side length.|42\div6=7\text{ cm}|Regular means all six sides are equal.
histogram|A display of numerical data grouped into intervals, with adjoining bars showing frequencies.|Put ages 11, 12, 14, 15, 17 into intervals 10–12, 13–15, and 16–18.|(2,2,1)|The bar heights are 2, 2, and 1; the intervals do not overlap.
horizontal axis|The left-to-right reference axis of a graph, usually the x-axis.|Plot the point (6, −1).|x=6|Move six units along the horizontal direction before moving vertically.
